GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_communal_living,index_eq_institutional_living,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_work_economic,index_eq_labor,index_eq_poverty,index_eq_adaparc,index_rel_community_living,index_rel_communal_living,index_rel_institutional_living,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_tech,index_rel_work_economic,index_rel_labor,index_rel_poverty,index_rel_adaparc,index_adaparc
02,Alaska,AK,2024,41.07733716287426,65.77704528223416,16.377629043514368,61.15678882709878,56.53615707429337,52.38863048827146,38.52595840007631,97.17640934575395,47.31610887554768,59.28887146109895,35.34334628999641,49.850078288506914,55.18447995479801,36.380421384075134,73.98853852552088,58.03573150373951,55.50207478771125,56.921925302330145,32.9401113711892,86.77881455372746,74.25109814856387,67.79997163105728,80.70222466607048,62.49043653570046,56.17025741210369
01,Alabama,AL,2024,51.22470278160985,46.17099531275945,56.278410250460254,59.38087669100504,48.056378502557365,77.26403912223446,50.24589885299093,61.957190286237385,58.54744275744184,56.35443296694793,60.740452547935746,56.38434074335225,60.83415049257337,81.99319824822015,39.67510273692659,30.64928220141222,17.348235637600553,16.57824624453193,53.164316171203986,35.50633075231241,22.86800202133486,9.432057117032414,36.303946925637305,38.11714490510682,47.25074282422953
05,Arkansas,AR,2024,39.4131808106401,51.39696532678472,27.429396294495476,49.04692637709326,43.133937238804336,65.13103629286537,31.494940929950285,56.42779104675305,64.53420409073209,55.00406636337485,74.06434181808933,50.99810375948848,74.66159319933988,86.88634349628389,62.43684290239586,32.69199776330026,20.37603958949393,17.6064119921272,58.17960425763783,34.60593521394207,18.21416036462083,9.363992945596184,27.06432778364548,41.85591710908699,46.42701043428774
04,Arizona,AZ,2024,46.49616985174808,71.534112485891,21.45822721760515,53.92757026960574,27.565537289225063,49.50317438365286,46.48823309955416,92.15333630599086,45.380019639567074,49.66013817761168,41.09990110152247,48.601253253640294,68.06973826943806,73.81563777976343,62.32383875911269,60.16950268786853,55.50207478771125,61.71946246761911,35.25635666868115,88.20011682746262,63.492799970940055,60.639947846168,66.34565209571211,63.91068030941555,56.25596678152792
06,California,CA,2024,55.039717891650966,64.84404391101577,45.23539187228616,50.60789895609065,51.57363340834249,62.918752746097226,42.31985425562285,45.619355414300024,26.677273482210797,13.44695283190422,39.907594132517374,44.1082967766508,43.354950075714704,25.42235869926384,61.28754145216557,49.30570818872641,66.08915659185438,36.613180718949245,32.94592337705645,61.57457206704558,54.44187956387924,41.52045634822061,67.36330277953788,49.034179276106784,46.57123802637879
08,Colorado,CO,2024,56.47598681055701,49.33962135998881,63.6123522611252,51.86538555468629,72.28641449707965,24.10328952969214,60.70647439819653,50.365363793776815,34.33296814135934,50.46466535427541,18.201270928443275,47.558113502200875,45.02015915762949,52.84508467307813,37.19523364218087,65.67317529128776,56.67288414136449,91.91318003159772,43.48902063456098,70.61761635762787,85.55420962225732,91.52235923817548,79.58606000633915,65.41584802372485,56.48698076296286
09,Connecticut,CT,2024,49.18576386170575,51.735695460794084,46.63583226261743,40.93843315935137,53.97462958163794,45.56064770637116,57.3616949006035,6.856760448792869,39.53510556451907,36.72401003221917,42.34620109681898,43.2197675285254,36.13090625712675,14.396193137027678,57.86561937722583,44.73019136262383,60.58154337498187,54.20866638886856,44.5527511540925,19.57780453255238,52.365437547380886,54.2810419991647,50.44983309559707,44.408845055710486,43.81430629211795
11,District of Columbia,DC,2024,63.614820412410154,52.13159969899296,75.09804112582734,54.45344316311178,99.90290097142974,43.41750918897681,44.58111804317715,29.912244448863415,40.28604034521323,35.219466177945456,45.35261451248101,52.78476797357839,17.14006227118859,0.9986406464026452,33.28148389597454,60.099169561993065,99.99997307345043,69.0986366755327,52.06075231406721,19.237316184921884,60.149043786877755,66.60046942350051,53.697618150255,45.796091873353134,49.290429923465766
10,Delaware,DE,2024,41.06690415797413,50.90524365082239,31.228564665125862,59.78631777281534,58.53375574901956,43.35225219049346,44.33128982369927,92.92797332804906,49.000608111826615,65.27895995744404,32.722256266209186,49.95127668087202,75.12962965819446,79.59801383684261,70.66124547954632,68.11605078051433,41.880360710192534,67.37964473619544,72.68950166371272,90.51469601195662,59.31551579413676,60.49126730757584,58.13976428069768,67.52039874428185,58.73583771257694
12,Florida,FL,2024,53.15242003990836,46.752761605352816,59.5520784744639,58.46272765271443,46.088951602314445,61.92581549134965,47.276932446975046,78.55921107021857,35.340396204198655,21.273643692348685,49.40714871604863,48.98518129894048,56.54877475103817,72.67295926425668,40.42459023781965,51.684942618823456,43.35715257915852,57.96644046694705,26.64995555378414,78.76622187540413,48.712976071892534,42.69602980850316,54.729922335281906,52.31556448058472,50.6503728897626
