ABBR,hcbs_ratio,hcbs_per_individual
AL,0.41034199391257514,3983.4048023897058
AK,0.6946704213747121,28950.528076923078
AZ,0.08164693894460695,35.20095108695652
AR,0.39207239788736925,4541.833732833958
CA,0.9578424211596437,31484.48771517997
CO,0.7735943260997651,31194.005293569433
CT,0.623843162081863,27340.770843644543
DE,0.8966604418652178,12752.203027888447
DC,0.6514409696597045,24336.651721854305
FL,0.7079918759462432,679.232143216333
GA,0.551106829458852,6392.23861768018
HI,0.9402714082928837,8000.194339622642
ID,0.7552244878151215,12954.473968253968
IL,0.6413621628033078,8833.801395027624
IA,0.5836991679899762,690.6044457274827
IN,0.5670455232843752,21739.408125707814
KS,1.0362340105442953e-4,0.10635352286773794
KY,0.49951330399368477,8432.539573529411
LA,0.36919625396182776,4758.538167539267
ME,0.6743706023243328,17934.19615640599
MD,0.6985402554773579,26503.81804647785
MA,0.7002467095407996,12207.867126768697
MI,0.38272746537947616,4936.547293189126
MN,0.8299021250472078,51150.53112269447
MS,0.3754696780271259,5027.338831168831
MO,0.6912314704314507,18907.193033278778
MT,0.6392084096057079,15945.311116071429
NE,0.591930171281264,20570.988883495145
NV,0.5394164333344231,7620.254363636363
NH,0.5532914245257629,19611.33893238434
NJ,0.801433741708907,17074.45427211646
NM,0.9550314201334487,10581.03715
NY,0.6033529487917273,19753.0565984375
NC,0.3404937018559134,3254.5951731660757
ND,0.42368799129875273,22405.34162162162
OH,0.635542797915871,13165.708385390428
OK,0.45500436513893733,6741.198684863523
OR,0.8353697158525563,33666.590713678845
PA,0.8140795093467612,7388.176160894549
RI,0.6322282256224954,14805.946674937964
SC,0.529558753125144,6643.626318774815
SD,0.5296263138849503,15114.820396039604
TN,0.7809824965780332,2449.781249625412
TX,0.6286096267825294,4377.0031518058695
UT,0.5494589430863956,13121.774147286822
VT,0.6723709097815218,18858.869829787232
VA,0.8929105731903956,20405.488636363636
WA,0.7997074894447289,29651.666288601908
WV,0.42520317206076497,9346.641577752554
WI,0.631511347128161,8606.581497912317
WY,0.5712065828765915,15408.61064
