ABBR,hcv_hoh,pubhousing_hoh
AL,0.04106764968548575,0.0314356507726955
AK,0.04448795117988878,0.011403161643721491
AZ,0.023463419502944404,0.0032089030841401336
AR,0.040163490166088785,0.01736990206924202
CA,0.07040052010515943,0.004628962600098898
CO,0.05028872568256994,0.008759502340261436
CT,0.09152369908283793,0.025486655085643045
DE,0.03177600383284836,0.011280129076804927
DC,0.17644079024276196,0.06638610710620997
FL,0.036413586943547765,0.006527695625303375
GA,0.03875193188693311,0.015600496775991903
HI,0.06476374976904084,0.022759976036236793
ID,0.024903203751458446,0.0021551563974702924
IL,0.06629045403976871,0.023157766706306267
IN,0.04003628748541089,0.00922428714299733
IA,0.047917208019348775,0.009392052609486497
KS,0.027517582462778648,0.01779067615365633
KY,0.04069545712292816,0.02262782330300734
LA,0.06683231396534149,0.019677055544711216
ME,0.05564845653846331,0.011659457243282337
MD,0.07463839921627359,0.011670035414074421
MA,0.10764988301954706,0.03231795461274536
MI,0.0390072636002491,0.010484550576555713
MN,0.05073305620601814,0.020485033309735157
MS,0.046300029017852795,0.014785472377535898
MO,0.0402129074302576,0.01526895166136824
MT,0.03595442308896262,0.008088649596193577
NE,0.04607837023178464,0.024155493191975887
NV,0.035724788503142535,0.0048192331628896246
NH,0.056222704439986664,0.017840842629993824
NJ,0.080130250159512445,0.02272077222023318
NM,0.03137303636086335,0.01128898328541329
NY,0.09970443262425635,0.062037319813086675
NC,0.03831100659303742,0.014239421044527498
ND,0.07557390013758436,0.012122590919431896
OH,0.05296977113717649,0.017089790512437524
OK,0.03475792796417219,0.013282167588445856
OR,0.057345137094271324,0.003244907553935833
PA,0.04245788707172592,0.027432773745568597
RI,0.06122585478088715,0.0580020332816095
SC,0.033654364135647555,0.013292777463900458
SD,0.04795916526883466,0.012147611060007576
TN,0.03304108815470651,0.015566881696885183
TX,0.041160617438007883,0.009749928955534103
UT,0.0325341605896433,0.00299062083279863
VT,0.07896784232365145,0.004419519363762102
VA,0.04798262388743301,0.010534268243737753
WA,0.0578325980716396,0.008920919585185866
WV,0.04176388521396098,0.017962379428956295
WI,0.03858528053300855,0.013045751197795444
WY,0.03139608416928094,0.007526628392872643
GU,NA,NA
MP,NA,NA
PR,0.038182280387654755,0.06694235885389266
VI,NA,NA
