GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
01,Alabama,AL,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,43.76192417308972
02,Alaska,AK,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,58.441908623475925
04,Arizona,AZ,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,72.64038163746964
05,Arkansas,AR,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.788074305496295
06,California,CA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,62.93613405117663
08,Colorado,CO,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.78575148930514
09,Connecticut,CT,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.669825581954434
10,Delaware,DE,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.979505074068314
11,District of Columbia,DC,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.423474853474275
12,Florida,FL,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,47.57368098946816
13,Georgia,GA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,51.79240865536165
15,Hawaii,HI,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,68.94625946272245
16,Idaho,ID,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,44.70453091232707
17,Illinois,IL,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,36.97365547349082
18,Indiana,IN,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,33.512692966099564
19,Iowa,IA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,22.449517774596018
20,Kansas,KS,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.44840359697707
21,Kentucky,KY,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.66489638858631
22,Louisiana,LA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.60999391210789
23,Maine,ME,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,37.0508964249208
24,Maryland,MD,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.129221449991356
25,Massachusetts,MA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,44.61639296552693
26,Michigan,MI,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,57.42612854568971
27,Minnesota,MN,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.51709093978997
28,Mississippi,MS,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,46.820705930486604
29,Missouri,MO,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,32.93461126670363
30,Montana,MT,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.344627752222294
31,Nebraska,NE,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,36.4986851116678
