GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_communal_living,index_eq_institutional_living,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_work_economic,index_eq_labor,index_eq_poverty,index_eq_adaparc,index_rel_community_living,index_rel_communal_living,index_rel_institutional_living,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_tech,index_rel_work_economic,index_rel_labor,index_rel_poverty,index_rel_adaparc,index_adaparc
02,Alaska,AK,2023,36.71291095884466,58.441908623475925,14.983913294213387,62.39613522712912,64.03666809855073,52.08933566571713,36.282127798494656,97.17640934575395,44.78077040604325,58.88878869196237,30.672752120124137,47.963272197339016,59.55119325610764,44.111451035322666,74.9909354768926,57.30173684386975,56.834911923933454,57.80723510321003,27.78598579460804,86.77881455372746,74.10690202243559,67.35216303615883,80.86164100871235,63.653277374137666,55.80827478573834
01,Alabama,AL,2023,53.19012043196537,43.76192417308972,62.61831669084101,58.10994888745511,41.68744819013852,78.73277851561932,50.06237855782522,61.957190286237385,56.73988487596333,59.51215841806795,53.9676113338587,56.01331806512794,57.58084678023097,79.82424002706013,35.337453533401806,30.316226823281127,17.236362690034987,16.208926534034575,52.31328731674253,35.50633075231241,22.29209419630925,9.506168726027736,35.07801966659076,36.72972259994045,46.37152033253419
05,Arkansas,AR,2023,38.88351168204575,49.788074305496295,27.9789490585952,49.471486118252415,43.826344273559,65.05104540965502,32.5807637430426,56.42779104675305,66.4812154893842,57.19488516837704,75.76754581039137,51.61207109656078,74.46478846674154,87.94608968954984,60.983487243933226,32.50779534174546,19.184969843703232,18.92211622281654,57.31816008651998,34.60593521394207,18.479874529100236,10.0310471668664,26.928701891334075,41.81748611252908,46.71477860454493
04,Arizona,AZ,2023,48.09048216113053,72.64038163746964,23.5405826847914,56.217370374034175,35.49617127937979,50.42552026225202,46.794453648514,92.15333630599086,45.862109434769486,48.94948580167402,42.77473306786495,50.05665398997806,65.963546502269807,73.35259086716748,58.574502137372136,60.55281355947463,55.40196684540506,61.54657507358165,37.062595491449166,88.20011682746262,60.875060192772736,59.488876292541576,62.261244093003896,62.46380675150573,56.260230370741894
06,California,CA,2023,55.44601163323824,62.93613405117663,47.95588921529985,48.60505140487458,46.817514011080966,60.50811838412014,41.47521780999718,45.619355414300024,27.049058064768595,14.262815673847475,39.83530045568971,43.70004036762714,40.564816879047754,22.0858298246852,59.0438039334103,50.06476934925127,67.81307113777851,38.502657431922415,32.36877676025859,61.57457206704558,55.28841050342823,43.086777087174184,67.49004391968228,48.63933224390908,46.16968630576811
08,Colorado,CO,2023,56.69394040160032,48.78575148930514,64.6021293138955,52.55132658202608,71.6133010646331,25.008822323573444,63.21781914612095,50.365363793776815,33.958791744461074,49.28419317055855,18.633390318363592,47.73468624269583,45.659203681130904,55.3613581393748,35.957049222887015,65.49673784309073,56.11968119197354,92.15909443292692,43.09055938983463,70.61761635762787,84.5954869688205,90.29703932390188,78.89393461373912,65.25047616434738,56.4925812035216
09,Connecticut,CT,2023,49.11954066775595,52.669825581954434,45.56925575355748,45.11425384374025,69.03085377045778,48.0211881246975,56.548213031012835,6.856760448792869,39.74534404622421,39.33176177718783,40.15892631526057,44.65971285257347,37.339344348076224,15.435752263624003,59.242936432528445,44.10038264419399,58.18036076327195,53.90868378235865,44.73468149859298,19.57780453255238,57.05332377946851,57.68383844561548,56.42280911332154,46.16435025724624,45.41203155490986
11,District of Columbia,DC,2023,61.62440665064745,54.423474853474275,68.82533844782063,55.65992741079753,99.82035869604832,44.98788031401043,47.91922618426795,29.912244448863415,37.49988043535491,36.40773679165195,38.592024079057865,51.59473816559997,24.32266115985839,1.7038639060863388,46.94145841363044,60.58013288877117,99.99998153417248,68.25440709741741,54.828826738572864,19.237316184921884,58.4507294689124,59.72387281563849,57.17758612218631,47.784507839180655,49.68962300239031
10,Delaware,DE,2023,43.28817490367932,50.979505074068314,35.596844733290325,57.49031307123344,48.138650884392675,44.88570997143394,44.00891810105811,92.92797332804906,55.36985221674458,69.22202377947883,41.517680654010334,52.049446730552454,72.48574741115686,76.64537249326071,68.32612232905302,71.89839681467389,44.71449231142324,73.535303407619665,78.82909552769603,90.51469601195662,57.744833711151216,54.45475445895357,61.03491296334886,67.37632597899399,59.71288635477322
12,Florida,FL,2023,53.21095569925154,47.57368098946816,58.848230409034926,57.842009089804776,45.7087390920427,60.64958109041094,46.45050510654689,78.55921107021857,36.65747517696959,23.905193913225897,49.40975644071329,49.23681332200864,56.53952157389358,72.30166982056338,40.77737332722378,51.24200099618264,41.83346588342373,58.07340386330653,26.29491236259616,78.76622187540413,48.1308400071359,41.91728595513077,54.34439405914104,51.97078752573737,50.60380042387301
13,Georgia,GA,2023,52.40784903409903,51.79240865536165,53.02328941283642,59.225207678541295,60.115761252453666,50.57543258168343,49.66780469148524,76.54183218854287,49.71868187434487,51.000010733533856,48.43735301515588,53.7839128623284,62.484595565831626,83.58774702723005,41.38144410443319,43.55842090440824,37.56287916572845,36.00830308298078,28.476572808729586,72.18592856019416,44.70908616305158,32.03889806170029,57.37927426440288,50.25070087776381,52.017306870046106
15,Hawaii,HI,2023,47.55822400594441,68.94625946272245,26.170188549166365,57.73871998701725,78.12813455061672,56.1514825622664,61.47843457938683,35.19682825579904,32.53912225549824,7.819116742762979,57.2591277682335,45.9453554161533,57.94743968017865,33.15283612864073,82.74204323171656,66.7215614776312,78.12956737851995,77.45364967191458,63.74526369333481,47.557765166755466,67.76902087697593,51.633909133303376,83.90413262064848,64.14600734492859,55.04568138054094
19,Iowa,IA,2023,40.407710612362294,22.449517774596018,58.36590345012857,32.87043542199286,30.59075322754915,39.42572783241509,52.115086185142026,9.350174442865184,47.32591443816418,49.406143425815614,45.24568545051275,40.20135349083978,36.676154757878834,27.789483815943345,45.56282569981432,43.78214882635203,35.21896493548089,53.49260392168427,72.7427402314561,13.674286216786866,62.48973739912505,82.86995236503753,42.10952243321257,47.64934699445197,43.92535024264588
16,Idaho,ID,2023,48.06204835912382,44.70453091232707,51.41956580592056,56.85866199393216,54.87111417724693,48.05184946014398,50.92516286071765,73.58652147762008,47.30077080219511,54.8134011771517,39.78814042723853,50.740493718417035,63.134962884989605,76.32095979742456,49.948965972554646,57.08089959983762,31.99861477521619,63.39680011663231,54.70425208797446,78.22393141952752,64.05685057535996,79.20351655854394,48.91018459217597,61.424237686729064,56.08236570257305
17,Illinois,IL,2023,45.40524571763578,36.97365547349082,53.83683596178074,42.24810872470279,61.17764928387803,35.34646880373185,49.73246432471307,22.735852486488195,38.56311889438824,31.085831750514743,46.040406038261736,42.07215777890894,49.83789852874639,53.29934256171995,46.37645449577283,51.39106693322346,74.80942453142737,50.39406279653912,39.941590185391526,40.41919021953583,54.89029003001178,54.85711508485038,54.92346497517319,52.03975183066055,47.05595480478475
18,Indiana,IN,2023,43.98468323358284,33.512692966099564,54.45667350106611,51.64070996709246,45.10516798603891,56.10907961172589,55.9511277917648,49.397464478840256,62.725248826257385,65.91661502804892,59.533882624465846,52.7835473423109,51.914871133981976,63.684627446938336,40.145114821025615,38.25405339020933,28.502318058879787,26.473408964028508,56.92920004755748,41.11128649037153,45.8914965114522,46.33085179309532,45.45214122980908,45.35347367854784,49.06851051042936
