KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fee-for-Service Acute Care","$203,514,293,871","$5,117,977,904","$2,014,216,406","$2,663,322,459","$2,958,682,794","$47,040,613,182","$7,442,364,276","$6,083,473,845","$286,738,359","$1,084,524,486","$6,797,505,365","$3,989,381,886","$282,993,705","$2,075,042,436","$4,721,781,390","$366,477,502","$2,817,264,838","$178,078,210","$1,570,269,401","$667,889,095","$2,598,723,306","$5,264,781,017","$7,156,035,531","$3,490,676,476","$2,279,054,553","$1,063,933,695","$5,038,128,306","$1,738,769,351","$90,718,912","$1,890,284,408","$235,535,380","$3,237,590,513","$719,083,454","$18,489,962,357","$4,515,420,196","$417,101,516","$2,111,328,382","$5,918,404,926","$1,898,054,594","$2,101,498,738","$498,484,402","$1,616,256,013","$887,345,970","$2,685,983,437","$10,720,856,514","$1,284,312,887","$1,370,847,713","$5,768,903,464","$5,838,229,740","$581,371,499","$3,444,797,643","$403,221,439"
"Fee-for-Service Long-Term Care","$185,119,074,791","$2,112,357,248","$650,133,105","$79,329,061","$1,855,784,207","$31,506,102,474","$4,326,708,011","$3,896,162,811","$356,969,351","$1,128,217,162","$2,861,729,956","$4,119,932,898","$180,377,834","$972,583,233","$3,988,805,440","$102,460,905","$6,770,496,049","$83,031,438","$3,443,828,341","$2,954,138,717","$1,598,298,006","$5,224,574,699","$6,037,278,474","$4,412,520,610","$7,685,811,421","$2,165,076,800","$5,013,788,624","$558,777,018","$1,431,798,518","$854,674,349","$996,000,660","$3,805,052,588","$886,340,443","$20,952,837,387","$3,505,087,006","$782,649,173","$8,224,129,431","$1,791,215,609","$4,743,477,830","$5,843,712,531","$943,772,560","$2,211,787,291","$576,480,745","$1,046,748,175","$4,935,367,996","$1,232,273,229","$659,135,359","$4,122,641,461","$6,603,616,742","$1,936,578,034","$2,611,229,430","$337,194,351"
"Managed Care and Health Plans","$486,829,984,357","$161,201,187","$735,665","$16,618,079,891","$2,584,753,934","$67,510,856,571","$1,664,224,797","$36,395,323","$2,485,458,714","$1,796,688,584","$22,966,306,997","$5,609,812,549","$2,576,828,684","$786,033,787","$22,406,402,076","$8,153,963,663","$9,226,484,805","$4,694,154,283","$12,573,359,447","$12,330,641,819","$37,902,250","$6,698,957,283","$11,087,997,118","$16,089,048,841","$8,386,435,563","$3,576,496,504","$4,665,503,185","$33,588,097","$2,022,592,994","$2,923,732,973","$880,475,825","$14,801,298,523","$6,074,522,205","$50,800,041,838","$19,862,896,778","$197,369,207","$21,360,367,290","$1,878,917,041","$9,051,790,013","$33,698,333,902","$1,964,761,277","$5,704,751,888","$2,974,010","$8,962,768,452","$31,519,769,874","$2,318,024,841","$22,494,726","$11,968,446,773","$8,096,231,070","$2,144,627,075","$5,811,861,430","$2,622,735"
"Payments to Medicare","$27,767,734,571","$467,052,126","$46,722,900","$546,393,326","$405,932,229","$3,697,904,929","$228,341,709","$697,995,818","$62,160,385","$85,747,740","$2,537,080,776","$719,628,764","$50,558,335","$101,826,982","$817,311,448","$193,612,907","$413,504,137","$147,149,215","$340,964,420","$602,858,162","$300,939,550","$477,936,911","$863,021,208","$817,750,023","$280,217,906","$348,572,105","$483,041,607","$58,995,486","$85,987,190","$273,702,497","$41,824,194","$592,555,353","$222,377,241","$2,948,890,968","$713,458,273","$24,902,613","$849,871,929","$242,597,180","$359,740,051","$1,026,296,439","$104,993,520","$361,372,518","$47,777,171","$537,454,877","$1,683,488,376","$83,964,389","$57,995,788","$435,389,317","$611,734,990","$207,748,673","$436,470,039","$23,919,881"
"DSH Payments","$15,456,207,628","$298,215,000","$17,601,494","$59,646,969","$27,544,176","$658,187,793","$257,231,667","$253,084,019","$16,360,207","$52,419,288","$376,232,286","$567,128,767","$22,999,272","-$1,690,292","$611,901,771","-$2,616,422","$318,980,071","$90,259,723","-$1,740,069","$362,815,869","$74,617,791","$181,845,203","-$109,200,000","$167,125,435","$51,211,042","$33,001,237","$829,582,808","$0","$37,183,079","$13,063,253","$311,112,079","$989,579,832","$39,835,830","$2,832,847,973","$205,817,789","-$176,905","$1,714,880,150","$43,785,710","$114,404,564","$866,376,434","$14,580,446","$191,330,230","$1,345,258","$81,424,489","$2,115,024,612","$24,888,820","$22,706,707","$17,876,431","$350,669,518","$71,882,899","$182,438,878","$584,447"
"Total","$918,687,295,218","$8,156,803,465","$2,729,409,570","$19,966,771,706","$7,832,697,340","$150,413,664,949","$13,918,870,460","$10,967,111,816","$3,207,687,016","$4,147,597,260","$35,538,855,380","$15,005,884,864","$3,113,757,830","$3,933,796,146","$32,546,202,125","$8,813,898,555","$19,546,729,900","$5,192,672,869","$17,926,681,540","$16,918,343,662","$4,610,480,903","$17,848,095,113","$25,035,132,331","$24,977,121,385","$18,682,730,485","$7,187,080,341","$16,030,044,530","$2,390,129,952","$3,668,280,693","$5,955,457,480","$2,464,948,138","$23,426,076,809","$7,942,159,173","$96,024,580,523","$28,802,680,042","$1,421,845,604","$34,260,577,182","$9,874,920,466","$16,167,467,052","$43,536,218,044","$3,526,592,205","$10,085,497,940","$1,515,923,154","$13,314,379,430","$50,974,507,372","$4,943,464,166","$2,133,180,293","$22,313,257,446","$21,500,482,060","$4,942,208,180","$12,486,797,420","$767,542,853"
"Medicaid Spending on Long Term Care, Fee-for-Service, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nursing Facilities","$46,279,219,315","$1,242,799,454","$197,258,233","$72,852,086","$969,107,510","$981,387,414","$928,762,134","$1,256,353,262","$1,072,590","$299,988,975","$249,329,321","$1,818,253,815","$18,242","$190,865,510","$592,168,099","$38,720,388","$2,617,959,966","$18,740,816","$1,555,468,125","$1,444,601,613","$454,646,275","$1,556,681,360","$1,628,613,979","$2,723,727,781","$1,185,819,579","$1,057,324,591","$1,441,525,280","$199,094,749","$517,923,891","$370,914,545","$440,110,906","$190,446,382","$943,317","$7,420,496,957","$2,311,626,956","$319,292,957","$2,045,181,237","$866,943,461","$780,920,103","$462,235,061","$339,933,776","$882,141,909","$229,192,904","-$3,659,363","$475,667,467","$468,450,934","$215,951,738","$258,222,535","$988,078,759","$1,039,328,608","$807,378,931","$128,354,197"
"ICF-ID","$10,224,925,354","$2,768,909","$1,246,634","$0","$159,074,933","$346,833,585","$50,829,109","$209,215,021","$35,816,465","$93,261,305","$586,319,075","$31,155,926","$10,755,472","$47,199,049","$838,368,457","$3,934,172","$313,356,608","$64,282,018","$168,122,143","$418,880,156","$65,806,542","$18,317,594","$181,080,109","$0","$121,520,611","$294,831,520","$106,574,861","$2,507,300","$66,349,885","$22,734,415","$4,811,130","$565,108,673","$38,914,154","$890,384,207","$0","$131,757,160","$952,161,965","$109,261,227","$0","$624,230,840","$7,159,133","$158,374,062","$41,968,469","$232,915,535","$1,357,280,695","$86,738,749","$180","$183,268,776","$334,576,217","$73,810,303","$154,829,484","$16,232,521"
"Home Health and Personal Care","$128,614,930,122","$866,788,885","$451,628,238","$6,476,975","$727,601,764","$30,177,881,475","$3,347,116,768","$2,430,594,528","$320,080,296","$734,966,882","$2,026,081,560","$2,270,523,157","$169,604,120","$734,518,674","$2,558,268,884","$59,806,345","$3,839,179,475","$8,604","$1,720,238,073","$1,090,656,948","$1,077,845,189","$3,649,575,745","$4,227,584,386","$1,688,792,829","$6,378,471,231","$812,920,689","$3,465,688,483","$357,174,969","$847,524,742","$461,025,389","$551,078,624","$3,049,497,533","$846,482,972","$12,641,956,223","$1,193,460,050","$331,599,056","$5,226,786,229","$815,010,921","$3,962,557,727","$4,757,246,630","$596,679,651","$1,171,271,320","$305,319,372","$817,492,003","$3,102,419,834","$677,083,546","$443,183,441","$3,681,150,150","$5,280,961,766","$823,439,123","$1,649,021,015","$192,607,633"
