"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","# Occupied Units","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% No Income","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 - $24,999","% $25,000 - $29,999","% $30,000 - $39,999","% $40,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% low income","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% Children 0-5","% Children 6-12","% Children 13-17","% No Children","% female head","% female head with children","% Female Head with children between 0-5yrs","% Households where Head or spouse/Co-head has a disability","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% of households with any disabled member","% with disability, among all persons in households","% of Households where both head and spouse are younger than 62","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic","%Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
"3","Housing Choice Vouchers","3","N/A","NE Nebraska","31","14369","11083","77","11477","100","6","13","2.2","24975","471","758","18689","8589","6","5","5","32","19","11","8","9","7","28","2","64","22","100","97","78","5","34","17","25","20","61","75","34","14","50","43","65","54","27","67","2","47","18","33","2","48","38","2","1","52","1","6","1","7","3","19","134","89","153","30","37","33","29","18","41","61","NA","NA","NA","NA","NA","NE","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NV Nevada","32","24578","21856","89","22444","100","6","6","2.2","48744","449","1161","17350","7989","10","8","5","34","14","9","6","7","8","22","1","67","21","99","94","79","3","34","13","23","21","64","73","34","12","45","35","60","50","26","61","1","40","19","39","3","70","50","1","4","29","2","11","2","14","3","26","147","84","157","37","32","31","22","21","67","41","NA","NA","NA","NA","NA","NV","NA","NA"
"3","Public Housing","2","N/A","NV Nevada","32","2376","2114","89","2108","100","8","8","2.4","5058","443","627","18818","7843","8","10","5","32","13","8","5","8","11","27","2","62","22","99","92","76","4","42","17","31","24","54","75","42","16","40","28","63","45","21","66","1","48","16","34","3","78","56","1","4","22","2","15","1","18","2","38","117","93","109","33","35","32","13","25","78","42","NA","NA","NA","NA","NA","NV","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NV Nevada","32","17697","15671","89","16691","100","6","5","2.3","37607","473","1321","17860","7927","11","7","5","32","14","9","6","7","9","23","1","64","21","99","94","77","3","35","13","24","23","62","75","35","12","49","37","70","55","28","64","1","42","21","36","2","71","56","1","3","29","2","9","1","12","3","23","165","83","180","32","32","36","26","19","65","46","NA","NA","NA","NA","NA","NV","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NH New Hampshire","33","22563","20225","90","16871","83","6","9","1.6","26994","503","820","22184","13865","2","2","2","28","20","15","10","11","9","16","2","80","23","99","96","76","2","18","8","12","9","80","70","17","6","49","60","41","51","35","45","1","28","16","55","6","15","4","1","1","83","1","8","1","10","1","43","111","48","126","66","20","13","8","10","19","43","NA","NA","NA","NA","NA","NH","NA","NA"
"3","Public Housing","2","N/A","NH New Hampshire","33","3455","3264","94","3113","95","6","8","1.6","5065","517","588","22983","14126","2","2","3","32","19","13","9","9","11","18","2","78","23","99","95","79","3","15","7","12","9","82","62","15","5","61","66","56","63","42","49","1","28","20","51","4","24","6","0","1","76","1","15","0","17","1","28","108","48","82","72","13","15","5","12","25","29","NA","NA","NA","NA","NA","NH","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NH New Hampshire","33","12042","10286","85","6663","65","6","7","1.9","12801","512","754","22302","11609","4","2","3","29","19","12","8","12","11","23","3","71","22","99","96","77","3","29","12","19","16","69","73","28","10","59","56","65","62","36","63","2","40","21","37","2","19","5","0","1","81","1","12","0","13","1","52","138","73","158","47","31","22","13","9","20","45","NA","NA","NA","NA","NA","NH","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NJ New Jersey","34","169445","153600","91","155716","100","6","7","1.9","291069","512","1308","21451","11476","3","5","6","32","14","10","7","10","12","26","2","69","21","99","95","79","3","23","9","16","14","73","73","23","8","33","29","38","37","22","50","1","32","17","50","6","76","41","0","4","23","3","22","5","30","1","39","129","72","117","57","24","19","11","20","71","28","NA","NA","NA","NA","NA","NJ","NA","NA"
"3","Public Housing","2","N/A","NJ New Jersey","34","25738","22719","88","22170","98","7","7","1.8","39026","515","860","23025","13080","3","4","5","35","13","9","6","9","14","27","1","68","23","98","92","77","2","21","8","13","12","77","69","20","6","41","33","48","44","27","49","1","29","18","51","5","81","48","0","1","19","3","28","1","31","1","38","156","32","102","56","25","19","13","25","78","19","NA","NA","NA","NA","NA","NJ","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NJ New Jersey","34","90055","80124","89","82367","100","6","6","2.1","176653","556","1346","22571","10524","4","6","6","29","13","10","7","11","15","31","2","63","21","99","95","77","4","30","12","21","19","67","78","30","9","39","30","54","45","24","61","1","40","20","39","4","78","45","0","2","22","3","26","1","30","1","39","128","83","141","46","29","25","14","18","69","30","NA","NA","NA","NA","NA","NJ","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NM New Mexico","35","27103","21143","78","20439","97","6","10","1.9","38933","376","710","15525","8150","4","8","7","43","15","9","5","5","3","21","2","72","24","99","94","75","3","28","13","19","16","68","71","28","11","48","40","59","51","29","58","3","36","19","42","3","71","6","7","1","28","1","54","3","58","1","19","97","67","116","45","30","25","19","24","67","55","NA","NA","NA","NA","NA","NM","NA","NA"
"3","Public Housing","2","N/A","NM New Mexico","35","4426","3997","90","3240","81","7","13","2.2","7277","389","496","18542","8256","5","7","10","35","12","8","6","8","9","33","3","59","29","96","86","67","6","36","18","26","20","58","73","37","14","41","31","64","46","22","68","5","46","18","32","2","76","4","10","0","24","1","59","1","61","1","22","92","75","116","39","26","35","15","25","69","58","NA","NA","NA","NA","NA","NM","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NM New Mexico","35","15887","11108","70","11096","100","6","6","1.9","21296","396","795","15623","8140","5","6","6","43","16","10","6","5","3","21","2","72","23","99","95","75","3","28","11","19","17","69","71","28","10","58","47","75","62","35","61","2","37","22","39","2","70","7","4","1","30","1","57","1","59","1","17","108","81","125","39","34","27","25","23","66","53","NA","NA","NA","NA","NA","NM","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NY New York","36","588668","516539","88","508554","98","6","6","1.9","986183","568","1545","23103","11914","2","5","7","32","14","10","7","9","15","30","7","61","20","99","95","81","4","22","9","15","14","74","73","22","7","39","30","50","44","27","51","1","31","19","49","6","78","35","0","5","21","10","23","5","38","6","39","189","55","135","43","34","23","23","27","72","16","NA","NA","NA","NA","NA","NY","NA","NA"
"3","Public Housing","2","N/A","NY New York","36","168527","153977","91","140407","91","7","4","2","281611","627","1226","26027","12977","2","6","9","26","12","9","7","10","20","34","9","55","21","99","93","78","2","26","9","16","14","72","76","25","8","39","27","54","44","30","55","2","32","21","45","5","91","41","1","6","9","12","30","2","43","4","29","278","6","93","28","46","26","31","34","85","7","NA","NA","NA","NA","NA","NY","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NY New York","36","294244","247467","84","251335","100","6","7","2.1","528606","565","1643","22400","10651","3","5","7","32","14","10","7","9","14","31","7","59","19","99","96","82","5","24","11","18","17","70","74","24","7","46","31","67","51","28","57","1","35","21","43","5","75","36","0","2","25","11","23","2","36","9","40","148","74","158","41","32","27","22","25","68","19","NA","NA","NA","NA","NA","NY","NA","NA"
"3","Summary of All HUD Programs","1","N/A","NC North Carolina","37","128527","104659","81","104925","100","6","11","2.1","218435","386","782","16076","7722","5","10","6","37","16","10","5","6","5","24","0","70","22","99","95","76","2","37","17","24","18","60","79","37","16","38","31","50","41","21","62","3","43","16","38","2","76","70","1","1","23","1","2","1","4","1","21","98","77","158","34","34","32","23","23","58","57","NA","NA","NA","NA","NA","NC","NA","NA"
"3","Public Housing","2","N/A","NC North Carolina","37","22810","20345","89","19630","96","6","13","2.3","45346","359","662","16391","7096","8","13","7","34","12","8","5","7","7","30","0","62","23","98","91","75","3","46","24","29","21","51","80","45","22","34","25","58","38","18","72","5","51","16","28","1","84","76","2","1","16","1","3","0","4","1","21","100","37","131","30","33","37","18","29","65","58","NA","NA","NA","NA","NA","NC","NA","NA"
"3","Housing Choice Vouchers","3","N/A","NC North Carolina","37","73136","54738","75","55208","100","6","8","2.2","120595","420","844","16876","7726","6","8","6","36","16","10","6","7","5","27","0","67","22","99","96","76","1","39","16","26","22","59","82","39","15","44","34","65","48","24","66","2","45","19","34","2","79","74","1","0","21","1","2","0","4","1","21","106","92","179","23","39","38","33","20","55","58","NA","NA","NA","NA","NA","NC","NA","NA"
"3","Summary of All HUD Programs","1","N/A","ND North Dakota","38","14311","10528","74","11034","100","6","17","1.6","18126","380","611","16438","10007","7","8","6","32","19","12","7","6","4","20","1","72","19","100","98","83","2","22","12","15","10","75","65","22","10","51","49","53","52","34","63","5","40","18","37","3","27","10","11","1","72","0","3","1","5","3","12","72","68","94","49","36","15","23","14","21","45","NA","NA","NA","NA","NA","ND","NA","NA"
"3","Public Housing","2","N/A","ND North Dakota","38","1316","1119","85","1119","100","5","19","1.8","2065","401","520","20528","11124","8","8","6","26","16","10","6","9","11","31","2","59","23","99","92","76","4","25","13","17","13","71","59","25","11","37","32","46","40","23","64","6","40","18","36","3","32","10","16","2","68","0","3","0","4","2","14","67","38","106","60","19","21","8","18","22","49","NA","NA","NA","NA","NA","ND","NA","NA"
"3","Housing Choice Vouchers","3","N/A","ND North Dakota","38","10035","6976","70","7491","100","5","15","1.7","12367","399","643","16730","10134","6","6","5","33","20","12","8","6","3","19","1","73","20","100","98","83","2","22","12","15","10","76","68","22","10","54","51","58","56","36","62","4","40","18","38","4","25","11","9","1","75","0","4","0","4","3","11","74","82","95","43","41","16","30","13","20","44","NA","NA","NA","NA","NA","ND","NA","NA"
"3","Summary of All HUD Programs","1","N/A","OH Ohio","39","226712","198038","87","200005","100","6","12","1.9","384482","349","819","14046","7307","11","11","5","37","14","9","5","5","3","19","1","69","18","99","97","83","2","33","17","21","15","65","74","33","16","40","34","51","43","24","65","5","43","16","35","2","57","52","0","1","41","1","2","1","4","2","24","93","64","164","45","30","26","18","28","47","53","NA","NA","NA","NA","NA","OH","NA","NA"
"3","Public Housing","2","N/A","OH Ohio","39","31947","28684","90","27078","94","6","14","2.2","58332","315","875","14324","6649","14","15","7","31","10","7","5","6","6","25","1","59","19","99","94","81","3","41","21","27","17","56","74","41","20","37","28","66","41","21","76","6","53","17","24","1","60","54","0","0","40","1","4","0","6","2","21","94","53","133","40","28","32","14","34","50","51","NA","NA","NA","NA","NA","OH","NA","NA"
"3","Housing Choice Vouchers","3","N/A","OH Ohio","39","106780","88906","83","90710","100","6","8","2.1","194576","392","848","14713","6859","13","9","6","35","13","9","5","6","4","24","1","62","18","99","97","82","2","39","17","26","21","59","78","39","16","47","36","76","51","26","73","3","51","19","27","1","63","59","0","0","37","1","3","0","4","2","26","109","90","184","28","35","37","30","25","48","59","NA","NA","NA","NA","NA","OH","NA","NA"
"3","Summary of All HUD Programs","1","N/A","OK Oklahoma","40","54103","45878","85","45502","99","6","13","1.9","88377","334","692","14020","7218","8","13","6","38","15","9","5","4","2","19","1","72","21","99","96","79","3","32","16","21","15","65","73","32","14","45","37","60","49","27","65","5","43","17","35","2","52","38","7","1","46","1","4","1","6","5","13","78","82","130","44","29","27","18","26","53","64","NA","NA","NA","NA","NA","OK","NA","NA"
"3","Public Housing","2","N/A","OK Oklahoma","40","10047","9013","90","8765","97","6","19","1.8","15877","327","618","16421","9066","10","6","7","35","14","9","5","6","6","26","1","63","26","97","89","69","5","24","14","17","12","71","66","25","11","45","35","62","47","27","62","6","38","18","38","2","40","22","10","1","60","1","6","1","8","3","10","71","78","123","57","21","22","11","29","49","69","NA","NA","NA","NA","NA","OK","NA","NA"
"3","Housing Choice Vouchers","3","N/A","OK Oklahoma","40","29226","23586","81","23456","99","5","8","2.1","50007","362","745","14123","6625","8","12","6","38","15","9","5","5","2","19","1","72","19","100","98","82","2","38","17","25","20","60","78","37","15","50","39","76","56","28","70","3","48","19","30","1","63","52","6","1","37","1","3","1","5","5","16","90","90","144","32","33","35","26","25","58","63","NA","NA","NA","NA","NA","OK","NA","NA"
"3","Summary of All HUD Programs","1","N/A","OR Oregon","41","57559","50217","87","45677","91","7","9","1.8","82315","418","916","16406","9104","9","5","8","36","16","9","6","6","5","17","6","68","20","99","96","81","4","22","10","15","13","74","50","16","6","51","48","54","53","32","57","2","36","18","43","3","29","13","3","4","69","1","7","2","9","4","33","100","83","144","51","31","18","17","17","33","50","NA","NA","NA","NA","NA","OR","NA","NA"
"3","Public Housing","2","N/A","OR Oregon","41","2241","2112","94","1984","94","9","7","2","4051","450","873","19204","9405","7","4","8","35","16","8","5","7","10","22","5","66","25","98","91","73","5","25","9","18","16","70","66","23","7","56","48","68","60","33","60","2","39","20","40","2","23","6","3","2","76","0","11","1","12","3","26","133","71","121","49","24","27","12","16","28","57","NA","NA","NA","NA","NA","OR","NA","NA"
"3","Housing Choice Vouchers","3","N/A","OR Oregon","41","43247","37324","86","32598","87","7","9","1.9","62631","431","926","16397","8534","10","5","9","34","15","9","6","6","6","20","6","63","19","99","96","81","5","25","11","18","15","70","45","17","6","54","47","68","58","33","64","2","41","21","36","2","31","15","4","3","69","1","8","1","10","4","33","99","88","164","42","37","21","21","17","33","51","NA","NA","NA","NA","NA","OR","NA","NA"
"3","Summary of All HUD Programs","1","N/A","PA Pennsylvania","42","224531","193029","86","196250","100","7","10","1.8","361762","428","979","17924","9723","6","6","5","37","15","11","7","7","6","20","2","72","22","99","95","76","2","27","12","18","14","70","74","27","11","42","38","46","46","27","54","3","35","16","46","5","55","40","0","2","44","2","9","2","12","1","20","109","62","160","53","23","24","14","23","45","38","NA","NA","NA","NA","NA","PA","NA","NA"
"3","Public Housing","2","N/A","PA Pennsylvania","42","55144","50538","92","50067","99","7","10","1.9","94915","425","1020","19345","10204","6","6","5","37","14","10","6","8","9","24","2","68","25","98","91","73","3","27","13","18","14","70","71","27","11","48","40","59","51","30","59","3","37","19","41","3","57","40","0","1","43","2","14","1","16","1","17","119","35","115","50","23","28","16","26","47","37","NA","NA","NA","NA","NA","PA","NA","NA"
"3","Housing Choice Vouchers","3","N/A","PA Pennsylvania","42","100170","78218","78","80503","100","7","9","2.1","171474","463","1012","18177","8534","8","6","5","35","14","10","6","8","8","25","2","64","21","99","96","77","2","37","14","24","21","62","79","36","13","46","37","65","52","27","67","2","45","19","33","2","63","50","0","1","37","2","9","1","11","1","23","116","88","192","38","28","34","20","21","49","37","NA","NA","NA","NA","NA","PA","NA","NA"
"3","Summary of All HUD Programs","1","N/A","RI Rhode Island","44","38494","35246","92","35250","100","6","7","1.6","57770","502","1172","20789","12685","2","4","4","36","16","12","8","10","9","18","1","78","23","99","94","75","2","19","7","12","10","79","71","19","7","44","47","41","47","31","46","1","27","17","54","5","46","13","1","1","51","3","19","9","31","2","27","116","35","167","63","21","16","10","18","45","35","NA","NA","NA","NA","NA","RI","NA","NA"
"3","Public Housing","2","N/A","RI Rhode Island","44","8960","8672","97","8665","100","6","8","1.6","13914","504","642","22213","13833","2","4","4","34","16","11","7","10","12","18","1","78","25","99","92","73","2","15","7","11","9","82","65","16","6","45","48","43","48","32","42","1","24","17","58","6","47","11","1","1","53","4","30","1","34","1","20","117","9","184","71","14","16","7","20","48","32","NA","NA","NA","NA","NA","RI","NA","NA"
"3","Housing Choice Vouchers","3","N/A","RI Rhode Island","44","11590","9154","79","9260","100","5","4","2.2","20100","580","1352","21675","9986","5","5","5","31","12","10","7","10","13","32","3","61","23","99","93","75","2","37","13","24","22","60","83","38","12","46","37","67","53","28","72","2","48","22","28","1","53","18","1","1","47","3","28","1","33","2","41","125","78","210","28","36","35","23","17","47","36","NA","NA","NA","NA","NA","RI","NA","NA"
"3","Summary of All HUD Programs","1","N/A","SC South Carolina","45","63728","55836","88","52603","94","7","12","2.1","112056","376","816","15666","7354","4","15","7","33","14","9","6","7","5","27","1","68","22","99","94","74","1","43","21","27","20","55","82","43","20","31","25","45","34","17","67","4","48","15","33","2","81","79","0","0","17","1","1","0","2","1","17","94","91","148","33","34","33","20","23","58","58","NA","NA","NA","NA","NA","SC","NA","NA"
"3","Public Housing","2","N/A","SC South Carolina","45","11508","10117","88","9729","96","7","12","2.3","22544","380","713","17293","7463","3","16","9","31","13","8","6","8","8","34","1","61","25","98","90","71","1","48","24","30","21","51","84","48","23","31","22","53","33","15","73","5","52","16","27","1","86","84","0","0","14","0","1","0","1","1","17","106","90","122","31","30","39","16","26","58","58","NA","NA","NA","NA","NA","SC","NA","NA"
"3","Housing Choice Vouchers","3","N/A","SC South Carolina","45","30513","25614","84","22588","88","6","8","2.2","50510","427","810","16808","7517","6","10","7","31","15","10","7","8","5","30","1","63","23","99","94","73","1","45","18","29","25","54","85","44","17","37","28","60","40","19","70","2","51","17","30","1","86","84","0","0","14","1","1","0","2","1","17","103","97","185","19","40","42","35","22","58","59","NA","NA","NA","NA","NA","SC","NA","NA"
"3","Summary of All HUD Programs","1","N/A","SD South Dakota","46","14057","11083","79","11214","100","6","18","1.7","19112","374","618","16196","9503","5","8","6","34","20","11","7","6","3","18","1","75","21","99","97","80","3","24","12","15","12","73","66","24","11","48","48","49","50","31","60","5","37","17","40","3","32","5","21","1","66","0","3","1","4","3","13","72","47","121","59","25","15","12","15","24","56","NA","NA","NA","NA","NA","SD","NA","NA"
"3","Public Housing","2","N/A","SD South Dakota","46","1507","1347","89","1321","98","6","18","1.5","2028","431","503","21943","14293","5","4","4","26","17","12","9","12","11","27","1","67","30","98","86","61","3","15","7","12","9","82","61","16","6","43","43","43","44","30","52","6","30","16","48","6","31","2","24","1","69","-1","2","1","4","2","6","70","15","202","77","10","13","3","14","22","65","NA","NA","NA","NA","NA","SD","NA","NA"
"3","Housing Choice Vouchers","3","N/A","SD South Dakota","46","7216","5318","74","5416","100","6","15","1.9","10163","388","662","15909","8478","6","8","6","34","20","11","6","6","3","19","1","74","20","99","98","83","3","28","14","19","15","69","70","28","12","53","50","59","56","31","63","3","41","19","37","3","35","7","22","1","65","0","3","1","5","3","15","75","66","129","46","33","22","20","15","24","54","NA","NA","NA","NA","NA","SD","NA","NA"
"3","Summary of All HUD Programs","1","N/A","TN Tennessee","47","106452","91928","86","94276","100","6","14","2","191031","358","850","15104","7454","6","14","6","35","15","9","5","6","4","21","1","72","21","99","96","78","2","36","18","23","17","61","77","36","17","36","31","47","39","21","64","5","43","16","36","2","56","54","0","0","43","1","1","0","2","1","21","84","66","141","41","32","27","17","25","49","55","NA","NA","NA","NA","NA","TN","NA","NA"
"3","Public Housing","2","N/A","TN Tennessee","47","17646","16209","92","16141","100","6","15","2.1","34147","376","614","17506","8275","3","12","7","34","14","9","6","8","7","29","2","66","26","98","89","69","5","36","21","23","15","59","77","37","18","36","31","48","39","20","68","6","44","17","32","1","38","36","0","0","62","0","1","0","2","1","17","88","50","97","38","33","30","16","26","36","61","NA","NA","NA","NA","NA","TN","NA","NA"
"3","Housing Choice Vouchers","3","N/A","TN Tennessee","47","42452","34404","81","36054","100","6","9","2.4","84788","401","1015","15966","6789","9","12","7","31","14","9","6","8","5","26","1","64","20","99","96","78","2","47","19","31","25","52","83","46","18","39","29","68","44","21","75","3","55","17","25","1","73","70","0","0","27","1","1","0","2","1","24","100","93","168","21","37","41","29","23","56","58","NA","NA","NA","NA","NA","TN","NA","NA"
"3","Summary of All HUD Programs","1","N/A","TX Texas","48","288627","248565","86","255112","100","6","10","2.3","575087","412","1009","16659","7390","5","10","8","35","14","9","6","7","6","28","1","66","21","99","95","78","3","39","18","27","21","58","79","39","16","38","27","56","43","21","65","4","45","16","35","3","83","46","0","2","16","1","32","2","34","1","19","99","85","160","38","30","32","16","23","73","57","NA","NA","NA","NA","NA","TX","NA","NA"
"3","Public Housing","2","N/A","TX Texas","48","38317","35613","93","34973","98","8","17","2.2","76722","369","654","17486","7971","2","9","10","35","14","9","6","7","7","33","1","63","25","98","92","74","4","38","20","26","17","58","76","39","18","37","26","58","41","20","65","5","44","15","35","2","74","31","0","1","26","1","41","0","42","1","14","84","71","109","41","30","28","11","25","68","61","NA","NA","NA","NA","NA","TX","NA","NA"
"3","Housing Choice Vouchers","3","N/A","TX Texas","48","182966","150345","82","156869","100","6","7","2.4","376445","455","1154","17636","7349","6","9","8","33","13","10","6","8","7","31","0","63","22","99","95","76","3","42","18","29","25","55","82","43","16","42","29","71","49","23","70","2","50","18","30","2","87","56","0","1","13","1","28","0","30","1","21","111","92","186","31","32","37","21","21","73","58","NA","NA","NA","NA","NA","TX","NA","NA"
