GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
36,New York,NY,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,48.11065325481346
37,North Carolina,NC,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,45.89455849494897
38,North Dakota,ND,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,40.37542361137207
39,Ohio,OH,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,53.45987142256162
40,Oklahoma,OK,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,61.84767945695933
41,Oregon,OR,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.60199100379168
42,Pennsylvania,PA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,45.73495667698616
44,Rhode Island,RI,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.12115246136686
45,South Carolina,SC,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,37.47473048158996
46,South Dakota,SD,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,60.86110763891223
47,Tennessee,TN,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.31561886709045
48,Texas,TX,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,57.50171692292591
49,Utah,UT,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,66.47103055827326
50,Vermont,VT,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,38.5070456461881
51,Virginia,VA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.111766703324186
53,Washington,WA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,47.972779399822116
54,West Virginia,WV,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,40.456896359787734
55,Wisconsin,WI,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,41.96932373177971
56,Wyoming,WY,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,34.16199159503288
72,Puerto Rico,PR,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,0,NA
000,United States,USA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.18656230130122
01,Alabama,AL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,62.258492118228496
02,Alaska,AK,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,62.95189500033119
04,Arizona,AZ,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.26355043549495
